| RAM[0] | RAM[1] | RAM[2] | RAM[3] | time  |
|     17 |      3 |      5 |      2 | 116   |
|   1000 |      3 |    333 |      1 | 648   |
|  10000 |   3782 |      2 |   2436 | 714   |
|   1216 |  12412 |      0 |   1216 | 730   |
|   7399 |   9907 |      0 |   7399 | 746   |
|   6754 |    679 |      9 |    643 | 881   |
|   4442 |   1985 |      2 |    472 | 947   |
|  20795 |   4262 |      4 |   3747 | 1032  |
|   8757 |   6318 |      1 |   2439 | 1079  |
|  29911 |   7675 |      3 |   6886 | 1176  |
|  10670 |   4656 |      2 |   1358 | 1242  |
|   7722 |    333 |     23 |     63 | 1515  |
|   8852 |    428 |     20 |    292 | 1707  |
|   8461 |   8461 |      1 |      0 | 1754  |
|  32548 |   2748 |     11 |   2320 | 1939  |
|   5537 |    188 |     29 |     85 | 2250  |
|  15082 |  15082 |      1 |      0 | 2297  |
|   1137 |      7 |    162 |      3 | 2653  |
|  27457 |  27457 |      1 |      0 | 2700  |
|   5568 |      9 |    618 |      6 | 3327  |
|   3934 |   3934 |      1 |      0 | 3374  |
|  25563 |   7945 |      3 |   1728 | 3471  |
