|cabbage|farmer | goat  | wolf  |  out  |
|   0   |   0   |   0   |   0   |   0   |
|   1   |   0   |   0   |   0   |   0   |
|   0   |   1   |   0   |   0   |   1   |
|   1   |   1   |   0   |   0   |   1   |
|   0   |   0   |   1   |   0   |   0   |
|   1   |   0   |   1   |   0   |   1   |
|   0   |   1   |   1   |   0   |   0   |
|   1   |   1   |   1   |   0   |   0   |
|   0   |   0   |   0   |   1   |   0   |
|   1   |   0   |   0   |   1   |   0   |
|   0   |   1   |   0   |   1   |   1   |
|   1   |   1   |   0   |   1   |   0   |
|   0   |   0   |   1   |   1   |   1   |
|   1   |   0   |   1   |   1   |   1   |
|   0   |   1   |   1   |   1   |   0   |
|   1   |   1   |   1   |   1   |   0   |
